instancia,num_drones,iteraciones,ticks,urgencia_acumulada,es_valida,tiempo_s
PSP-UAV_01_a,3,1000,50,150927.0,Si,8.153
PSP-UAV_01_a,5,1000,50,139873.0,Si,6.518
PSP-UAV_01_a,10,3000,50,10280033.0,No,13.788
PSP-UAV_01_b,3,1000,50,158366.0,Si,8.936
PSP-UAV_01_b,5,1000,50,141659.0,Si,7.911
PSP-UAV_01_b,10,3000,50,10222199.0,No,17.567
PSP-UAV_02_a,3,1000,50,657399.0,Si,35.878
PSP-UAV_02_a,5,1000,50,647673.0,Si,19.712
PSP-UAV_02_a,10,3000,50,10409479.0,No,36.464
PSP-UAV_02_b,3,1000,50,634348.0,Si,35.7
PSP-UAV_02_b,5,1000,50,606751.0,Si,23.624
PSP-UAV_02_b,10,3000,50,10399125.0,No,77.132
PSP-UAV_03_a,3,1000,50,1999594.0,Si,63.532
PSP-UAV_03_a,5,1000,50,1968834.0,Si,39.06
PSP-UAV_03_a,10,3000,50,10476124.0,No,86.492
PSP-UAV_03_b,3,1000,50,1915002.0,Si,144.191
PSP-UAV_03_b,5,1000,50,1986961.0,Si,49.581
PSP-UAV_03_b,10,3000,50,1750314.0,Si,131.75
